Synonyms,SpcRecID,species,sp_tax_hbw,sp_delhey,height,fam.x,threat,PNG,species_alternative,materials,weight.x,species_b,weight.y,weight,birdlife name
22722651,9337,Anisogthus_notabilis,Anisogthus notabilis,Anisogthus notabilis,14.95,NA,NA,SOUTHAMERICA,Anisognathus notabilis,NA,NA,NA,NA,NA,Anisognathus notabilis
22706308,5859,Artamus_mochus,Artamus mochus,Artamus mochus,15,NA,NA,ISLAND,Artamus monachus,NA,NA,NA,NA,NA,Artamus monachus
22712833,7229,Calyptocichla_seri,Calyptocichla seri,Calyptocichla seri,35,NA,NA,AFRICA,Calyptocichla serinus,NA,NA,NA,NA,NA,Calyptocichla serinus
22706629,5944,Coraci_ostenta,Coraci ostenta,Coraci ostenta,20,Campephagidae,NA,ISLAND,Edolisoma ostentum,NA,NA,NA,NA,NA,Edolisoma ostentum
22729485,30239,Motacilla_samvease,Motacilla samvease,Motacilla samvease,NA,NA,NA,ASIA,Motacilla samveasnae,NA,NA,NA,NA,NA,Motacilla samveasnae
22710420,6725,Myrmecocichla_melae,Myrmecocichla melae,Myrmecocichla melae,NA,NA,NA,AFRICA,NA,NA,NA,NA,NA,NA,Myrmecocichla melaena
22721639,9093,Parula_america,Parula america,Parula america,NA,NA,NA,BORTHAMERICA,Setophaga americana,NA,NA,NA,NA,NA,Setophaga americana
22712036,7076,Pseudochelidon_eurystomi,Pseudochelidon eurystomi,Pseudochelidon eurystomi,0.66,Hirundinidae,NA,AFRICA,NA,NA,NA,NA,NA,NA,Pseudochelidon eurystomina
22714347,7532,Tesia_castaneocorota,Tesia castaneocorota,Tesia castaneocorota,2,NA,NA,ASIA,Cettia castaneocoronata,NA,NA,NA,NA,NA,Cettia castaneocoronata
22714365,7538,Urosphe_whiteheadi,Urosphe whiteheadi,Urosphe whiteheadi,NA,NA,NA,ISLAND,Urosphena whiteheadi,NA,NA,NA,NA,NA,Urosphena whiteheadi
